CASRN,SMILES
105464,CCC(C)OC(=O)C
78819,CC(C)CN
110009,C1=COC=C1
142621,CCCCCC(=O)O
62533,C1=CC=C(C=C1)N
141786,CCOC(=O)C
106503,C1CC(CCC1N)N
78922,CCC(C)O
,CC#CC
97881,CCCCOC(=O)C(=C)C
112492,COCCOCCOCCOC
111659,CCCCCCCC
98066,CC(C)(C)C1=CC=CC=C1
399940,C1=CC(=CC=C1F)F
677214,C=CC(F)(F)F
94337,CCOC(=O)C1=CC=CC=C1O
111773,COCCOCCO
123751,C1CCNC1
106978,CCCC
627021,CCOCC(C)C
78842,CC(C)C=O
102692,CCCN(CCC)CCC
626937,CCCCC(C)O
107153,C(CN)N
88722,CC1=CC=CC=C1[N+](=O)[O-]
565695,CCC(=O)C(C)C
78875,CC(CCl)Cl
137326,CCC(C)CO
108054,CC(=O)OC=C
929726,C=COCCOCCOCCO
,CCCC#C
110010,C1=CSC=C1
110430,CCCCCC(=O)C
99990,CC1=CC=C(C=C1)[N+](=O)[O-]
123193,CCCC(=O)CCC
,CC(=C)C#N
25650,CC(C)(C)O
592905,C1CCCOCC1
110623,CCCCC=O
98088,C1=CC=C(C=C1)C(F)(F)F
112367,CCOCCOCCOCC
108101,CC(C)CC(C)O
106945,CCCBr
98839,CC(=C)C1=CC=CC=C1
108225,CC(=C)OC(=O)C
75081,CCS
871227,CCCCOC(C)OCCCC
80568,CC1=CCC2CC1C2(C)C
60297,CCOCC
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC
96333,COC(=O)C=C
7440508,[N+](=O)(O)[O-]
3678157,C=COCC1CO1
540841,CC(C)CC(C)(C)C
706796,C1(=C(C(C(C1(F)F)(F)F)(F)F)Cl)Cl
420268,CC(C)F
111615,CCCCCCCCCCCCCCCCCC(=O)OCC
77736,C1C=CC2C1C3CC2C=C3
542927,C1C=CC=C1
1511622,C(F)(F)Br
,C#N
7789200,[2H]O[2H]
105577,CCOC(C)OCC
616386,COC(=O)OC
691372,CC(C)CC=C
107039,CCCS
542552,CC(C)COC=O
79094,CCC(=O)O
558305,CC1(CO1)C
109591,CC(C)OCCO
95476,CC1=CC=CC=C1C
111433,CCCOCCC
119368,COC(=O)C1=CC=CC=C1O
