CASRN,SMILES
106365,CCCOC(=O)CC
594616,CC(C)(C(=O)O)O
75310,CC(C)N
120809,C1=CC=C(C(=C1)O)O
111013,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
,CN(C)CCOCCO
1072964,C=CC1CCOCO1
,CC(CBr)Br
124094,C(CCCN)CCN
71410,CCCCCO
,CC#CC
1599413,C(C(F)(F)F)(C(F)(F)Cl)(Cl)Cl
593453,CCCCCCCCCCCCCCCCCC
75354,C=C(Cl)Cl
627087,CCCOC(C)C
75525,C[N+](=O)[O-]
513359,CC=C(C)C
90120,CC1=CC=CC2=CC=CC=C12
100425,C=CC1=CC=CC=C1
108054,CC(=O)OC=C
590012,CCCCOC(=O)CC
98088,C1=CC=C(C=C1)C(F)(F)F
,C=CCC#N
2035894,CN(C)N=C
356241,COC(=O)C(C(C(F)(F)F)(F)F)(F)F
111137,CCCCCCC(=O)C
108941,C1CCC(=O)CC1
79118,C(C(=O)O)Cl
,CCCCCCCCCCCCCCCCCC(=O)OCC
124185,CCCCCCCCCC
75014,C=CCl
6290499,COCC(=O)OC
,CCCCCCCC/C=C\CCCCCCCC(=O)OC
110430,CCCCCC(=O)C
765435,CC(=O)C1CC1
10544726,[N+](=O)([N+](=O)[O-])[O-]
811972,C(C(F)(F)F)F
2077465,CC1=C(C=CC(=C1Cl)Cl)Cl
112618,CCCCCCCCCCCCCCCCCC(=O)OC
7722841,OO
123193,CCCC(=O)CCC
363724,C1=C(C(=C(C(=C1F)F)F)F)F
625650,CC(C)C=C(C)C
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC
542187,CCCCCCCl
,C(=C\Cl)\Cl
,CC(CN)N
105453,CCOC(=O)CC(=O)OCC
100607,CNC1CCCCC1
6737117,CC(C=C)OC(=O)C
,C(=C/Cl)\Cl
111875,CCCCCCCCO
67641,CC(=O)C
542552,CC(C)COC=O
105306,CCCC(C)CO
616397,CCN(C)CC
57556,CC(CO)O
59881,C1=CC=C(C=C1)NN
628320,CCCOCC
75434,C(F)(Cl)Cl
,C=CC#N
120729,C1=CC=C2C(=C1)C=CN2
79005,C(C(Cl)Cl)Cl
115117,CC(=C)C
1114927,CC(C(C)OC(=O)C)OC(=O)C
672059,CCCCCCCCC=C
565695,CCC(=O)C(C)C
112958,CCCCCCCCCCCCCCCCCCCC
121448,CCN(CC)CC
112889,CCCCCCCCCCCCCCCCC=C
108861,C1=CC=C(C=C1)Br
78795,CC(=C)C=C
13360639,CCCCNCC
112425,CCCCCCCCCO
629594,CCCCCCCCCCCCCC
